English,Italian,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
arm,braccio,0,0,0,0,0,0,0,0,0,0
ell,braccio,0,0,0,0,0,0,0,0,0,0
cinder,brace,0,0,0,0,0,0,0,0,0,0
embers,brace,0,0,0,0,0,0,0,0,0,0
brachial,brachiale,0,0,0,0,0,0,0,0,0,0
chops,braciole,0,0,0,0,0,0,0,0,0,0
sloth,bradipo,0,1,0,0,1,0,0,0,0,0
brainstorm,brainstorm,0,0,0,0,0,0,0,0,0,0
craving,brama,0,0,0,1,0,0,0,0,0,0
hankering,brama,0,0,0,1,0,0,0,0,0,0
longing,brama,0,0,0,1,0,0,0,1,0,0
covet,bramare,0,1,0,0,0,0,0,0,0,0
crave,bramare,0,0,0,1,0,0,0,0,0,0
yearning,bramosia,1,1,0,1,0,0,1,0,0,1
gill,branchia,0,0,0,0,0,0,0,0,0,0
gills,branchie,0,0,0,0,0,0,0,0,0,0
grope,brancolare,0,1,1,0,1,1,0,0,0,0
shred,brandello,0,0,0,0,0,0,0,0,0,0
brandy,Brandy,0,1,0,0,0,0,0,0,0,0
bravado,bravata,0,1,0,0,0,0,0,0,0,0
stunt,bravata,0,0,0,0,0,0,0,0,0,0
braces,bretelle,0,0,0,0,0,0,0,0,0,0
breve,breve,0,0,0,0,0,0,0,0,0,0
short,breve,0,0,0,0,0,0,0,0,0,0
briefly,brevemente,0,0,0,0,0,0,0,0,0,0
patent,brevetto,1,0,0,0,0,0,0,0,0,0
breeze,brezza,0,0,0,0,0,0,0,0,0,0
bridal,bridal,1,0,0,1,0,0,1,0,0,1
brig,brigantino,0,0,0,0,0,0,0,0,0,0
brigade,brigata,0,1,0,0,0,1,0,0,0,0
bridle,briglia,0,0,0,0,0,0,0,0,0,0
brilliant,brillante,1,0,0,1,0,0,1,0,0,1
gleam,brillare,0,0,0,0,0,0,0,0,0,0
glitter,brillare,0,0,0,0,1,0,1,0,0,0
sparkle,brillare,1,0,0,1,0,0,1,0,1,0
tipsy,brillo,0,1,0,0,0,0,0,0,0,0
frost,brina,0,0,0,0,0,0,0,0,0,0
toast,brindisi,1,0,0,0,0,0,1,0,0,0
trump,briscola,0,0,0,0,0,0,0,0,1,0
shudder,brivido,0,1,0,0,0,1,0,0,0,0
thrill,brivido,1,0,0,1,0,1,1,0,1,0
pitcher,brocca,0,0,0,0,0,0,0,0,0,0
brocade,broccato,1,0,0,0,0,0,0,0,0,0
broth,brodo,0,0,0,0,0,0,0,0,0,0
broker,broker,0,0,0,0,0,0,0,0,0,0
grumble,brontolare,0,1,1,0,1,0,0,0,0,0
bronze,bronzo,0,0,0,0,0,0,0,0,0,0
burn,bruciare,0,0,0,0,0,0,0,0,0,0
burnout,bruciato,0,0,0,0,0,0,0,0,0,0
burnt,bruciato,0,1,0,0,1,0,0,0,0,0
burner,bruciatore,0,0,0,0,0,0,0,0,0,0
heartburn,bruciore di stomaco,0,1,0,0,0,0,0,0,0,0
caterpillar,bruco,0,0,0,0,0,0,0,0,0,0
heath,brughiera,0,0,0,0,0,0,0,0,0,0
teeming,brulicante,0,0,0,0,1,0,0,0,0,0
bleak,brullo,0,1,0,0,0,0,0,1,0,0
brunette,brunetta,0,0,0,0,0,0,0,0,0,0
burnished,brunito,0,0,0,0,0,0,0,0,0,0
abrupt,brusco,0,0,0,0,0,0,0,0,1,0
brutal,brutale,0,1,1,0,0,1,0,0,0,0
brutality,brutalità,0,1,1,0,0,1,0,0,0,0
brute,bruto,0,1,1,0,0,1,0,1,0,0
nasty,brutto,0,1,1,0,1,1,0,1,0,0
ugly,brutto,0,1,0,0,1,0,0,0,0,0
husk,buccia,0,0,0,0,0,0,0,0,0,0
hole,buco,0,0,0,0,0,0,0,0,0,0
keyhole,buco della serratura,0,0,0,0,0,0,0,0,0,0
pudding,budino,0,0,0,0,0,0,0,0,0,0
ox,bue,0,0,0,0,0,0,0,0,0,0
buffalo,bufalo,0,0,0,0,0,0,0,0,0,0
blizzard,bufera di neve,0,0,0,0,0,0,0,0,0,0
buffer,buffer,0,0,0,0,0,0,0,0,0,0
buffet,buffet,0,1,1,0,0,0,0,0,0,0
droll,buffo,0,0,0,0,0,0,0,0,0,0
zany,buffone,0,0,0,0,0,0,0,0,1,0
lie,bugia,0,1,1,0,1,0,0,1,0,0
liar,bugiardo,0,1,0,0,1,0,0,0,0,0
darkened,buia,0,1,0,0,0,1,0,1,0,0
dark,buio,0,0,0,0,0,0,0,1,0,0
darkness,buio,0,1,1,0,0,1,0,1,0,0
gloom,buio,0,1,0,0,0,0,0,1,0,0
bulbous,bulboso,0,1,0,0,0,0,0,0,0,0
bulldog,bulldog,1,0,0,0,0,0,0,0,0,0
bulldozer,bulldozer,0,0,0,0,0,0,0,0,0,0
bolt,bullone,0,0,0,0,0,0,0,0,0,0
boomerang,bumerang,0,0,0,1,0,0,0,0,0,1
bungalow,bungalow,0,0,0,0,0,0,0,0,0,0
bunt,bunt,0,0,0,0,0,0,0,0,0,0
goodwill,buona volontà,1,0,0,0,0,0,0,0,0,0
gourmet,buongustaio,0,0,0,0,0,0,0,0,0,0
coupon,buono,0,0,0,0,0,0,0,0,0,0
voucher,buono,0,0,0,0,0,0,0,0,0,1
bur,bur,0,0,0,0,0,0,0,0,0,0
puppet,burattino,0,0,0,0,0,0,0,0,0,0
gruff,burbero,0,1,1,0,1,0,0,0,0,0
surly,burbero,0,1,1,0,1,0,0,0,0,0
burlesque,burlesco,0,0,0,0,0,0,0,0,1,0
joker,burlone,1,0,0,0,0,0,1,0,1,0
wag,burlone,0,0,0,0,0,0,0,0,0,0
bureaucrat,burocrate,0,1,0,0,1,0,0,0,0,0
bureaucracy,burocrazia,0,1,0,0,0,0,0,0,0,1
gale,burrasca,0,0,0,0,0,0,0,0,0,0
gusty,burrascoso,0,0,0,0,0,0,0,0,0,0
butter,burro,0,0,0,0,0,0,0,0,0,0
gully,burrone,0,0,0,0,0,0,0,0,0,0
buttery,burroso,1,0,0,0,0,0,0,0,0,0
buss,Buss,1,0,0,0,0,0,1,0,0,0
compass,bussola,0,0,0,0,0,0,0,0,0,1
envelope,busta,0,0,0,0,0,0,0,0,0,0
bribe,bustarella,0,1,0,0,0,0,0,0,0,0
bust,busto,0,0,0,0,0,0,0,0,0,0
butane,butano,0,0,0,0,0,0,0,0,0,0
byte,byte,0,0,0,0,0,0,0,0,0,0
cabal,cabala,0,1,0,0,0,1,0,0,0,0
booth,cabina,0,0,0,0,0,0,0,0,0,0
cabin,cabina,0,0,0,0,0,0,0,0,0,0
cockpit,cabina di pilotaggio,0,0,0,0,0,0,0,0,0,0
cabriolet,cabriolet,0,0,0,0,0,0,0,0,0,0
cocoa,cacao,0,0,0,0,0,0,0,0,0,0
poop,cacca,0,0,0,0,0,0,0,0,0,0
chase,caccia,0,1,0,0,0,0,0,0,0,0
hunt,caccia,0,0,0,0,0,0,0,0,0,0
hunting,caccia,0,1,1,1,0,1,0,0,0,0
oust,cacciare,0,1,1,0,0,0,0,1,0,0
hunter,cacciatore,0,1,0,1,0,1,0,1,0,0
cashmere,cachemire,0,0,0,0,0,0,0,0,0,0
khaki,cachi,0,0,0,0,0,0,0,0,0,0
cacophony,cacofonia,0,1,1,0,1,0,0,0,0,0
cadaver,cadavere,0,1,0,0,1,1,0,1,1,0
corpse,cadavere,0,1,0,0,1,0,0,1,0,0
crumbling,cadente,0,1,0,0,0,0,0,1,0,0
cadence,cadenza,0,0,0,0,0,0,0,0,0,0
fall,cadere,0,1,0,0,0,0,0,1,0,0
cadet,cadetto,0,0,0,0,0,0,0,0,0,0
falling,caduta,0,1,0,0,0,0,0,1,0,0
spill,caduta,0,0,0,0,0,0,0,0,0,0
tumble,caduta,0,1,0,0,0,0,0,0,0,0
disgraced,caduto in disgrazia,0,1,1,0,1,0,0,1,0,0
cafe,caffè,1,0,0,0,0,0,0,0,0,0
coffee,caffè,0,0,0,0,0,0,0,0,0,0
curd,cagliata,0,0,0,0,0,0,0,0,0,0
bitch,cagna,0,1,1,0,1,1,0,1,0,0
cayenne,caienna,0,0,0,0,0,0,0,0,0,0
cove,cala,1,0,0,1,1,1,1,0,0,0
hornet,calabrone,0,0,0,0,0,0,0,0,0,0
caulk,calafatare,0,0,0,0,0,0,0,0,0,0
calamity,calamità,0,0,0,0,0,0,0,1,0,0
calender,calandra,0,0,0,0,0,0,0,0,0,0
waning,calante,0,0,0,0,0,0,0,0,0,0
calcareous,calcareo,0,0,0,0,0,0,0,0,0,0
kicking,calciando,0,0,1,0,0,0,0,0,0,0
football,calcio,1,0,0,1,0,0,1,0,0,0
kick,calcio,0,1,1,0,0,0,0,0,0,0
soccer,calcio,0,0,0,0,0,0,0,0,0,0
computable,calcolabile,0,0,0,0,0,0,0,0,0,0
calculate,calcolare,0,0,0,0,0,0,0,0,0,0
compute,calcolare,0,0,0,0,0,0,0,0,0,0
calculated,calcolato,0,0,0,0,0,0,0,0,0,0
calculating,calcolatore,0,1,0,0,0,0,0,0,0,0
calculator,calcolatrice,1,0,0,0,0,0,0,0,0,1
calculation,calcolo,0,0,0,1,0,0,0,0,0,0
calculus,calcolo,0,0,0,0,0,0,0,0,0,0
computation,calcolo,0,0,0,0,0,0,0,0,0,0
boiler,caldaia,0,0,0,0,0,0,0,0,0,0
hot,caldo,0,0,1,0,0,0,0,0,0,0
kaleidoscope,caleidoscopio,0,0,0,0,0,0,0,0,0,0
calendar,calendario,0,0,0,0,0,0,0,0,0,0
gig,calesse,0,0,0,0,0,0,0,0,0,0
calibrate,calibrare,0,0,0,0,0,0,0,0,0,0
caliber,calibro,0,0,0,0,0,0,0,0,0,0
gage,calibro,0,0,0,0,0,0,0,0,0,1
chalice,calice,0,0,0,0,0,0,0,0,0,0
goblet,calice,0,0,0,0,0,0,0,0,0,0
calico,calicò,0,0,0,0,0,0,0,0,0,0
calligraphy,calligrafia,0,0,0,0,0,0,0,0,0,0
calm,calma,1,0,0,0,0,0,0,0,0,0
soothing,calmante,1,0,0,0,0,0,1,0,0,1
allay,calmare,1,0,0,0,0,0,0,0,0,0
sedate,calmo,0,0,0,0,0,0,0,0,0,0
heat,calore,0,0,0,0,0,0,0,0,0,0
calorie,caloria,0,0,0,0,0,0,0,0,0,0
caloric,calorico,0,0,0,0,0,0,0,0,0,0
calorimeter,calorimetro,0,0,0,0,0,0,0,0,0,0
ordeal,calvario,0,1,1,0,0,0,0,0,1,0
bald,calvo,0,0,0,0,0,0,0,0,0,0
stocking,calza,0,0,0,0,0,0,0,0,0,0
hosiery,calzetteria,0,0,0,0,0,0,0,0,0,0
sock,calzino,0,0,0,0,0,0,0,0,0,0
shoemaker,calzolaio,0,0,0,0,0,0,0,0,0,0
breeches,calzoni alla zuava,0,0,0,0,0,0,0,0,0,0
chameleon,camaleonte,0,0,0,0,0,0,0,0,0,0
change,cambiamento,0,0,0,0,0,1,0,0,0,0
changed,cambiato,0,0,0,0,0,0,0,0,0,0
galley,cambusa,0,0,0,0,0,0,0,0,0,0
chamber,camera,0,0,0,0,0,0,0,0,0,0
bedroom,camera da letto,0,0,0,0,0,0,0,0,0,0
chambers,camere,0,0,0,0,0,0,0,0,0,0
maid,cameriera,0,0,0,0,0,0,0,0,0,0
waiter,Cameriere,0,0,0,0,0,0,0,0,0,0
alb,camice,0,0,0,0,0,0,0,0,0,1
blouse,camicetta,0,0,0,0,0,0,0,0,0,0
shirt,camicia,0,0,0,0,0,0,0,0,0,0
camisole,camiciola,0,0,0,0,0,0,0,0,0,0
chimney,camino,0,0,0,0,0,0,0,0,0,0
fireplace,camino,0,0,0,0,0,0,0,0,0,0
lorry,camion,0,0,0,0,0,0,0,0,0,0
truck,camion,0,0,0,0,0,0,0,0,0,1
jeep,camionetta,0,0,0,0,0,0,0,0,0,0
cam,camma,0,0,0,0,0,0,0,0,0,0
camel,cammello,0,0,0,0,0,0,0,0,0,0
cameo,cammeo,0,0,0,0,0,0,0,0,0,0
walk,camminare,0,0,0,0,0,0,0,0,0,0
walker,camminatore,0,0,0,0,0,0,0,0,0,0
campaign,campagna,0,0,0,0,0,0,0,0,0,0
campaigning,campagna,0,1,1,0,0,1,0,0,0,0
campaigner,campaigner,0,0,0,0,0,0,0,0,0,0
bell,campana,0,0,0,0,0,0,0,0,0,0
doorbell,campanello,0,0,0,0,0,0,0,0,0,0
capitol,Campidoglio,0,0,0,0,0,0,0,0,0,0
champion,campione,1,0,0,1,0,0,1,0,0,1
camp,campo,0,0,0,0,0,0,0,0,0,0
field,campo,0,0,0,0,0,0,0,0,0,0
battlefield,campo di battaglia,0,1,0,0,0,1,0,0,0,0
camouflage,camuffamento,0,0,0,0,0,0,0,0,1,0
disguise,camuffare,0,0,0,0,0,0,0,0,0,0
canal,canale,0,0,0,0,0,0,0,0,0,0
channel,canale,0,0,0,0,0,0,0,0,0,0
culvert,canale sotterraneo,0,0,0,0,0,0,0,0,0,0
hemp,canapa,0,0,0,0,0,0,0,0,0,0
canary,canarino,1,0,0,0,0,0,0,0,0,0
cancel,cancellare,0,1,0,0,0,0,0,1,0,0
erase,cancellare,0,1,0,0,0,1,0,0,0,0
obliterate,cancellare,0,1,1,0,0,1,0,1,0,0
obliterated,cancellato,0,1,1,0,0,1,0,0,0,0
erasure,cancellatura,0,0,0,0,0,0,0,0,0,0
cancellation,cancellazione,0,0,0,0,0,0,0,0,0,0
deletion,cancellazione,0,1,0,0,0,0,0,0,0,0
obliteration,cancellazione,0,1,0,0,0,1,0,1,0,0
chancellor,cancelliere,0,0,0,0,0,0,0,0,0,1
registrar,cancelliere,0,0,0,0,0,0,0,0,0,0
gate,cancello,0,0,0,0,0,0,0,0,0,1
canker,cancrena,0,1,1,0,1,0,0,0,0,0
cancer,cancro,0,1,1,0,1,1,0,1,0,0
bleach,candeggina,0,0,0,0,0,0,0,0,0,0
candle,candela,0,0,0,0,0,0,0,0,0,0
candlestick,candeliere,0,0,0,0,0,0,0,0,0,0
candidate,candidato,1,0,0,0,0,0,0,0,0,0
nominee,candidato,0,0,0,0,0,0,0,0,0,0
candidacy,candidatura,0,0,0,0,0,0,0,0,0,0
candid,candido,1,0,0,1,0,0,1,0,1,1
candied,candito,1,0,0,0,0,0,0,0,0,0
candor,candore,0,0,0,0,0,0,0,0,0,0
whiteness,candore,1,0,0,0,0,0,1,0,0,0
dog,cane,0,0,0,0,0,0,0,0,0,0
retriever,cane da riporto,0,0,0,0,0,0,0,0,0,0
kangaroo,canguro,0,0,0,0,0,0,0,0,0,0
kennel,canile,0,0,0,0,0,0,0,1,0,0
canine,canino,0,0,0,0,0,0,0,0,0,0
cane,canna,0,0,1,0,0,1,0,0,0,0
flue,canna fumaria,0,0,0,0,0,0,0,0,0,0
cinnamon,cannella,0,0,0,0,0,0,0,0,0,0
cannibal,cannibale,0,1,0,0,1,1,0,0,0,0
cannibalism,cannibalismo,0,1,0,0,1,0,0,0,0,0
cannon,cannone,0,1,1,0,0,1,0,0,0,0
canoe,canoa,0,0,0,0,0,0,0,0,0,0
dugout,canoa,0,0,0,0,0,0,0,0,0,0
canons,canoni,0,0,0,0,0,0,0,0,0,1
rectory,canonica,0,0,0,0,0,0,0,0,0,0
canon,canonico,0,0,0,0,0,0,0,0,0,0
canonical,canonico,0,0,0,0,0,0,0,0,0,0
boating,canottaggio,0,0,0,0,0,0,0,0,0,0
sing,cantare,1,0,0,1,0,0,1,1,0,1
canterbury,Canterbury,0,0,0,0,0,0,0,0,0,0
cellar,cantina,0,0,0,0,0,0,0,0,0,0
canto,canto,0,0,0,0,0,0,0,0,0,0
chant,canto,1,0,1,1,0,0,1,0,1,0
canton,cantone,0,0,0,0,0,0,0,0,0,0
hoary,canuto,0,1,0,0,0,0,0,1,0,0
teasing,canzonatura,0,1,1,0,0,1,0,0,0,0
ditty,canzoncina,1,0,0,0,0,0,1,0,0,0
song,canzone,0,0,0,0,0,0,0,0,0,0
chaos,caos,0,1,1,0,0,1,0,1,0,0
chaotic,caotico,0,1,1,0,0,0,0,0,0,0
capable,capace,0,0,0,0,0,0,0,0,0,0
ability,capacità,1,0,0,0,0,0,0,0,0,0
capability,capacità,0,0,0,0,0,0,0,0,0,0
hut,capanna,1,0,0,0,0,0,0,1,0,0
shed,capannone,0,1,0,0,0,0,0,0,0,0
hair,capelli,0,0,0,0,0,0,0,0,0,0
halter,capestro,0,1,1,0,0,1,0,1,0,0
nipple,capezzolo,0,0,0,0,0,0,0,0,0,0
capacity,capienza,0,0,0,0,0,0,0,0,0,0
capillary,capillare,0,0,0,0,0,0,0,0,0,0
capital,capitale,0,0,0,0,0,0,0,0,0,0
capitals,capitali,0,0,0,0,0,0,0,0,0,0
capitalist,capitalista,1,0,0,0,0,0,0,0,0,0
captain,capitano,1,0,0,0,0,0,0,0,0,0
befall,capitare,0,1,0,0,0,0,0,0,0,0
capitulation,capitolazione,0,0,0,0,0,0,0,0,0,0
chapter,capitolo,0,0,0,0,0,0,0,0,0,0
boss,capo,0,0,0,0,0,0,0,0,0,0
cape,capo,0,0,0,0,0,0,0,0,0,0
chief,capo,0,0,0,0,0,0,0,0,0,0
chieftain,capo,1,0,0,0,0,0,0,0,0,0
leader,capo,1,0,0,0,0,0,0,0,0,1
householder,capofamiglia,0,0,0,0,0,0,0,0,0,0
masterpiece,capolavoro,1,0,0,0,0,0,1,0,0,0
corporal,caporale,0,1,0,0,0,0,0,0,0,0
foreman,caposquadra,1,0,0,0,0,0,0,0,0,0
pall,cappa,0,0,0,0,0,0,0,0,0,0
chapel,cappella,0,0,0,0,0,0,0,0,0,0
chaplain,cappellano,0,0,0,0,0,0,0,0,0,1
hat,cappello,0,0,0,0,0,0,0,0,0,0
caper,cappero,0,0,0,0,0,0,0,0,0,0
loop,cappio,0,0,0,0,0,0,0,0,0,0
coat,cappotto,0,0,0,0,0,0,0,0,0,0
cowl,cappuccio,0,0,0,0,0,0,0,0,0,0
hood,cappuccio,0,1,1,0,1,1,0,0,0,0
goat,capra,0,0,0,0,0,0,0,0,0,0
moods,capricci,0,0,0,0,0,0,0,0,0,0
caprice,capriccio,0,0,0,0,0,0,0,0,0,0
fad,capriccio,0,0,0,0,0,0,0,0,0,0
kink,capriccio,0,0,0,0,0,0,0,0,0,0
whim,capriccio,0,1,0,1,0,0,1,0,1,0
capricious,capriccioso,0,0,0,0,0,0,0,0,0,0
freakish,capriccioso,0,1,0,0,1,1,0,0,1,0
willful,capriccioso,0,1,1,0,0,0,0,1,0,0
honeysuckle,caprifoglio,0,0,0,0,0,0,0,0,0,0
roe,capriolo,0,0,0,0,0,0,0,0,0,0
caps,caps,0,0,0,0,0,0,0,0,0,0
capsule,capsula,0,0,0,0,0,0,0,0,0,0
decanter,caraffa,0,0,0,0,0,0,0,0,0,0
jug,caraffa,0,0,0,0,0,0,0,0,0,0
candy,caramella,0,0,0,0,0,0,0,0,0,0
fudge,caramella fondente,0,1,0,0,0,0,0,0,0,0
caramel,caramello,0,0,0,0,0,0,0,0,0,0
carat,carato,0,0,0,0,0,0,0,0,0,0
character,carattere,0,0,0,0,0,0,0,0,0,0
characteristic,caratteristica,0,0,0,0,0,0,0,0,0,0
feature,caratteristica,1,0,0,0,0,0,0,0,0,0
features,Caratteristiche,0,0,0,0,0,0,0,0,0,0
characterize,caratterizzare,0,0,0,0,0,0,0,0,0,0
caravan,caravan,0,0,0,0,0,0,0,0,0,0
khan,caravanserraglio,0,0,0,0,0,1,0,0,0,1
charcoal,carbone,0,0,0,0,0,0,0,0,0,0
coal,carbone,0,0,0,0,0,0,0,0,0,0
bunker,carbonile,0,0,0,0,0,1,0,0,0,0
carbon,carbonio,0,0,0,0,0,0,0,0,0,0
char,carbonizzare,0,0,0,0,0,0,0,0,0,0
fuel,carburante,0,0,0,0,0,0,0,0,0,0
carcass,carcassa,0,1,0,0,1,1,0,1,0,0
hulk,carcassa,0,0,0,0,1,0,0,0,0,0
inmate,carcerato,0,1,0,0,1,1,0,0,0,0
gaol,carcere,0,1,0,0,0,0,0,0,0,0
jail,carcere,0,1,0,0,0,1,0,1,0,0
prison,carcere,0,1,1,0,0,1,0,1,0,0
captor,carceriere,0,1,0,0,0,1,0,0,0,0
carcinoma,carcinoma,0,1,0,0,0,1,0,1,0,0
artichoke,carciofo,0,0,0,0,0,0,0,0,0,0
cardigan,cardigan,0,0,0,0,0,0,0,0,0,0
cardinal,cardinale,0,0,0,0,0,0,0,0,0,0
cardiomyopathy,cardiomiopatia,0,1,0,0,0,1,0,1,0,0
thistle,cardo,0,0,0,0,0,0,0,0,0,0
lacking,carente,0,1,0,0,0,0,0,0,0,0
deficiency,carenza,0,1,0,0,0,0,0,0,0,0
shortage,carenza,0,1,1,0,0,1,0,1,0,0
famine,carestia,0,1,0,0,0,0,0,1,0,0
caress,carezza,1,0,0,0,0,0,0,0,0,0
decayed,cariato,0,1,0,0,1,0,0,1,0,0
caribou,caribù,0,0,0,0,0,0,0,0,0,0
charge,carica,0,0,0,0,0,0,0,0,0,0
winding,carica,0,0,0,0,0,0,0,0,0,0
charger,caricabatterie,1,0,0,0,0,0,0,0,0,0
caricature,caricatura,0,1,0,0,0,0,0,0,0,0
cargo,carico,0,0,0,0,0,0,0,0,0,0
fraught,carico,0,1,0,0,0,1,0,1,0,0
lading,carico,0,0,0,0,0,0,0,0,0,0
load,carico,0,0,0,0,0,0,0,0,0,0
caries,carie,0,1,0,0,1,0,0,0,0,0
chime,carillon,0,0,0,0,0,0,0,0,0,0
chimes,carillon,0,0,0,0,0,0,0,0,0,0
cute,carino,1,0,0,0,0,0,0,0,0,0
charity,carità,1,0,0,0,0,0,1,0,0,0
charitable,caritatevole,1,0,0,1,0,0,1,0,0,1
pug,carlino,0,0,0,0,0,0,0,0,0,0
complexion,carnagione,0,0,0,0,0,0,0,0,0,0
carnal,carnale,0,1,0,0,0,0,0,0,0,0
flesh,carne,0,0,0,0,1,0,0,0,0,0
meat,carne,0,0,0,0,0,0,0,0,0,0
venison,carne di cervo,0,0,0,0,0,0,0,0,0,0
pork,carne di maiale,0,0,0,0,0,0,0,0,0,0
carnage,carneficina,0,1,1,0,1,1,0,1,1,0
carnivorous,carnivoro,0,1,0,0,0,1,0,0,0,0
fleshy,carnoso,0,1,0,0,0,0,0,0,0,0
darling,caro,1,0,0,0,0,0,1,0,0,1
dear,caro,1,0,0,0,0,0,0,0,0,0
carol,carola,1,0,0,0,0,0,1,0,0,1
carousel,carosello,0,0,0,0,0,0,0,0,0,0
rut,carreggiata,0,0,0,0,0,0,0,0,0,0
cart,carrello,0,0,0,0,0,0,0,0,0,0
trolley,carrello,0,0,0,0,0,0,0,0,0,0
carter,carrettiere,0,0,0,0,0,0,0,0,0,0
career,carriera,1,0,0,1,0,0,0,0,0,0
chariot,carro,0,0,0,0,0,0,0,0,0,0
bandwagon,carro della banda,0,0,0,0,0,0,0,0,0,0
hearse,carro funebre,0,1,0,0,0,1,0,1,0,0
carriage,carrozza,0,0,0,0,0,0,0,0,0,0
chaise,carrozza,0,0,0,0,0,0,0,0,0,0
buggy,carrozzino,0,0,0,0,0,0,0,0,0,0
card,carta,0,0,0,0,0,0,0,0,0,0
charter,carta,0,0,0,0,0,0,0,0,0,0
map,carta,0,0,0,0,0,0,0,0,0,0
paper,carta,0,0,0,0,0,0,0,0,0,0
cards,carte,0,0,0,0,0,0,0,0,0,0
cartel,cartello,0,1,0,0,0,0,0,0,0,0
placard,cartellone,0,0,0,0,0,0,0,0,1,0
cartouche,cartiglio,0,0,0,0,0,0,0,0,0,0
cartilage,cartilagine,0,0,0,0,0,0,0,0,0,0
cartography,cartografia,0,0,0,0,0,0,0,0,0,0
cartographic,cartografico,0,0,0,0,0,0,0,0,0,0
stationery,cartoleria,0,0,0,0,0,0,0,0,0,0
cartoon,cartone animato,0,0,0,0,0,0,0,0,0,0
ammunition,cartucce,0,0,0,0,0,0,0,0,0,0
cartridge,cartuccia,0,0,0,0,0,1,0,0,0,0
house,casa,0,0,0,0,0,0,0,0,0,0
farmhouse,casa colonica,0,0,0,0,0,0,0,0,0,0
housewife,casalinga,0,0,0,0,0,0,0,0,0,0
baggy,cascante,0,0,0,0,0,0,0,0,0,0
drooping,cascante,0,1,0,0,0,0,0,0,0,0
cascade,cascata,1,0,0,0,0,0,0,0,0,0
helmet,casco,1,0,0,0,0,1,0,0,0,0
casein,caseina,0,0,0,0,0,0,0,0,0,0
barrack,caserma,0,0,0,0,0,0,0,0,0,0
lodge,casetta,0,0,0,0,0,0,0,0,0,0
casino,casinò,0,0,0,0,0,0,0,0,0,0
case,caso,0,1,0,0,0,1,0,1,0,0
cottage,casolare,0,0,0,0,0,0,0,0,0,0
saucepan,casseruola,0,0,0,0,0,0,0,0,0,0
drawers,cassetti,0,0,0,0,0,0,0,0,0,0
drawer,cassetto,0,0,0,0,0,0,0,0,0,0
dresser,cassettone,0,0,0,0,0,0,0,0,0,0
cashier,cassiere,0,0,0,0,0,0,0,0,0,1
teller,cassiere,0,0,0,0,0,0,0,0,0,0
caste,casta,0,1,0,0,0,0,0,0,0,0
chestnut,Castagna,0,0,0,0,0,0,0,0,0,0
auburn,castano dorato,0,0,0,0,0,0,0,0,0,0
castle,castello,0,0,0,0,0,0,0,0,0,0
chastisement,castigo,0,1,0,0,0,0,0,0,0,0
chastity,castità,1,0,0,1,0,0,0,0,0,1
geld,castrare,0,0,0,0,0,0,0,0,0,0
casual,casuale,0,0,0,0,0,0,0,0,0,0
haphazard,casuale,0,0,0,0,0,0,0,0,0,0
casually,casualmente,0,0,0,0,0,0,0,0,0,0
catabolism,catabolismo,0,0,0,0,0,0,0,0,0,0
catalysis,catalisi,0,0,0,0,0,0,0,0,0,0
catalytic,catalitico,0,0,0,0,0,0,0,0,0,0
catalog,catalogo,0,0,0,0,0,0,0,0,0,0
catalogue,catalogo,0,0,0,0,0,0,0,0,0,0
catamaran,catamarano,0,0,0,0,0,0,0,0,0,0
catapult,catapulta,0,0,0,0,0,0,0,0,0,0
cataract,cataratta,0,1,0,1,0,1,0,1,0,0
cathartic,catartico,1,0,0,0,0,0,0,0,0,0
catastrophe,catastrofe,0,1,1,0,1,1,0,1,1,0
catechism,catechismo,0,0,0,0,1,0,0,0,0,0
category,categoria,0,0,0,0,0,0,0,0,0,0
categorical,categorico,1,0,0,0,0,0,0,0,0,0
chain,catena,0,0,0,0,0,0,0,0,0,0
cates,Cates,0,0,0,0,0,0,0,0,0,0
catheter,catetere,0,1,0,0,0,0,0,0,0,0
catnip,catnip,0,0,0,0,0,0,0,0,0,0
tar,catrame,0,0,0,0,0,0,0,0,0,0
cathedral,cattedrale,1,0,0,0,0,0,1,0,0,1
misbehavior,cattiva condotta,0,1,1,0,1,0,0,0,1,0
misconduct,cattiva condotta,0,1,0,0,1,0,0,0,0,0
badness,cattiveria,0,1,1,0,1,1,0,0,0,0
captivity,cattività,0,1,0,0,0,0,0,1,0,0
naughty,cattivo,0,1,0,0,0,0,0,0,0,0
unkind,cattivo,0,1,1,0,1,1,0,1,0,0
catholic,cattolico,0,0,0,0,0,0,0,0,0,0
capture,cattura,0,1,0,0,0,0,0,0,0,0
caudal,caudale,0,0,0,0,0,0,0,0,0,0
lawsuit,causa,0,1,1,0,1,1,0,1,1,0
causal,causale,0,0,0,0,0,0,0,0,0,0
causality,causalità,0,0,0,0,0,0,0,0,0,0
causation,causalità,0,0,0,0,0,0,0,0,0,0
caused,causato,0,0,0,0,0,0,0,0,0,0
cautiously,cautamente,1,0,0,0,0,1,0,0,0,0
gingerly,cautamente,0,0,0,0,0,0,0,0,0,0
caution,cautela,0,1,1,1,0,1,0,0,0,0
cautious,cauto,1,0,0,1,0,1,0,0,0,1
cautionary,cauzionale,0,0,0,0,0,1,0,0,0,0
bail,cauzione,0,0,0,0,0,0,0,0,0,0
